tram_id,direction_id,route
1,0,317;103;169;105;106;296;299;163;304;220;292;217;291;193
1,1,193;291;217;292;220;304;163;299;296;106;105;169;103;293;317
2,0,98;100;101;102;103;293;188;224;194;109;111;112;113;114;251;263;221;203;225;213;214;198;187;212;249;313;266
2,1,266;313;249;212;187;198;214;213;225;203;221;263;251;114;113;112;111;109;194;224;188;227;103;102;101;100;98
3,0,245;275;250;295;190;294;288;314;312;1375;248;239;235;284;114;251;263;221;203;225;213;214;198;187;212;249;313;266
3,1,266;313;249;212;187;198;214;213;225;203;221;263;251;114;284;235;239;248;1375;314;288;294;190;295;250;275;245
4,0,272;309;262;310;305;314;288;224;194;109;111;122;123;124;311;254;236;247;231;197;222;264;209;242;233;215;202;201;189;256;206
4,1,206;256;189;201;202;215;233;242;209;264;222;197;231;247;236;254;311;124;123;122;109;194;224;288;314;305;310;262;309;272
5,0,259;281;246;255;265;230;283;282;223;234;287;309;262;310;305;314;312;1375;248;239;235;284;114;113;297;163;303;247;231;197;222;264;209
5,1,209;264;222;197;231;247;236;303;163;297;113;114;284;235;239;248;1375;314;305;310;262;309;287;234;223;282;283;230;265;255;246;281;259
6,0,98;100;101;102;103;169;105;106;107;109;111;112;113;114;115;171;1729;117;185;183;181;1794
6,1,179;181;183;185;117;1729;171;115;114;113;112;111;109;107;106;105;169;103;102;101;100;98
7,0,272;287;226;269;302;308;278;179;181;183;185;117;1729;171;115;114;113;297;163;303;247;231;197;222;264;209;242;233;215;202;201;189;256;206
7,1,206;256;189;201;202;215;233;242;209;264;222;197;231;247;236;303;163;297;113;114;115;171;1729;117;185;183;181;179;278;308;302;269;226;287;272
8,0,177;175;128;127;126;125;124;123;122;112;113;114;115;171;1729;117;1780
8,1,185;117;1729;171;115;114;113;112;111;122;123;124;125;126;127;128;175;177
9,0,245;275;250;295;190;294;224;194;109;111;122;299;163;304;220;292;217;291;193
9,1,193;291;217;292;220;304;163;299;122;109;194;224;294;190;295;250;275;245
11,0,98;100;101;102;103;169;105;106;124;311;254;236;247;231;197;222;264;209;242;233;215;202;201;189;256;206
11,1,206;256;189;201;202;215;233;242;209;264;222;197;231;247;236;254;311;124;106;105;169;103;102;101;100;98
12,0,245;275;250;295;190;294;224;298;105;106;124;311;254;236;247;231;197;222;264;209
12,1,209;264;222;197;231;247;236;254;311;124;106;105;298;224;294;190;295;250;275;245
13,0,187;198;214;213;225;203;221;263;251;114;284;235;239;248;1375;314;288;224;298;105;106;107;109;111;122;299;163;303;236
13,1,236;303;163;299;122;109;107;106;105;298;224;288;314;312;1375;248;239;235;284;114;251;263;221;203;225;213;214;198;1781
14,0,177;175;128;127;126;125;124;106;105;298;224;288;314;305;310;262;309;287;226;269;302;308;278;179;181;183;1780
14,1,185;183;181;179;278;308;302;269;226;287;309;262;310;305;314;288;224;298;105;106;124;125;126;127;128;175;177
15,0,177;131;132;133;134
15,1,134;133;132;131;177
17,0,259;281;246;255;265;230;283;282;223;234;287;309;262;310;305;314;288;224;298;105;106;296;299;163;304;220;292;217;291;193
17,1,193;291;217;292;220;304;163;299;296;106;105;298;224;288;314;305;310;262;309;287;234;223;282;283;230;265;255;246;281;259
